"pptID","fileName","age","gender","nationality","firstLang","highestEdu","condition","videoCond","questionCond","trial","clipName","question","response","answer","RT","answerNum","variance","lowVariance"
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",29,"talk1Watch1Play","age",6,NA,5175,6,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",30,"talk1Watch1Play","gettingOnWell",0,"yes",5374,0,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",31,"talk1Watch1Play","relationshipBetweenCharacters",0,"friends",1756,0,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",32,"talk1Watch1Play","workingTogether",0,"yes",1845,0,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",33,"talk1Watch1Play","leftDominant",3,"agree",5983,3,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",34,"talk1Watch1Play","rightDominant",2,"neutral",5983,2,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",35,"talk1Watch1Play","leftCooperative",4,"stronglyAgree",3294,4,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",36,"talk1Watch1Play","rightCooperative",4,"stronglyAgree",3294,4,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",37,"talk1Watch1Play","leftCompetitive",2,"neutral",3100,2,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",38,"talk1Watch1Play","rightCompetitive",2,"neutral",3100,2,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",39,"talk1Watch1Play","leftFriendly",4,"stronglyAgree",3102,4,3.2987012987013,0
